model,status,accuracy,precision,recall,f1,cv_f1_mean,cv_f1_std
baseline (v2),OK,0.9865,0.9812067260138477,0.992,0.9865738438587768,0.8618057971974494,0.004381351145186019
gridsearch,OK,0.9325,0.909952606635071,0.96,0.9343065693430657,0.8753255624597494,0.005829528758336204
pruned,OK,0.938,0.9285714285714286,0.949,0.9386745796241345,0.8831124956940213,0.0031247585388130723
